time (ns)   horizontal Rotation (rad)   vertical Rotation (rad) @ 10 K
   31.4000         91.19580893         -0.31743296  
   31.6000         92.50305916         -0.29210834  
   31.8000         93.43424189         -0.38989480  
   32.0000         93.52351040         -0.31885153  
   32.2000         93.42066774         -0.36006662  
   32.4000         93.49578439         -0.36828908  
   32.6000         93.45626818         -0.36677513  
   32.8000         93.58060281         -0.32206921  
   33.0000         82.50350763         -0.34289210  
   33.2000         83.15287067         -0.34524145  
   33.4000         83.23955979         -0.31484185  
   33.6000         83.37496601         -0.34086673  
   33.8000         80.26896621         -0.36304800  
   34.0000         80.07675805         -0.22959351  
   34.2000         80.07276916         -0.40017891  
   34.4000         80.09574938         -0.29016662  
   34.6000         79.97301006         -0.33016460  
   34.8000         79.99410442         -0.40397637  
   35.0000         79.98866722         -0.33256809  
   35.2000         80.24828297         -0.32511879  
   35.4000         79.96440069         -0.38117472  
   35.6000         80.22602090         -0.30072080  
   35.8000         80.09083517         -0.34503086  
   36.0000         80.13653608         -0.32766929  
   36.2000         80.11479242         -0.30994574  
   36.4000         80.10636314         -0.33532376  
   36.6000         80.00852301         -0.27430137  
   36.8000         80.07060396         -0.38608400  
   37.0000         80.11944265         -0.29764648  
   37.2000         80.14815168         -0.32149962  
   37.4000         80.14172220         -0.27551444  
   37.6000         80.28131597         -0.44595418  
   37.8000         80.19838348         -0.30225590  
   38.0000         80.08403879         -0.29034282  
   38.2000         80.16792013         -0.25985422  
   38.4000         82.23423534         -0.34975148  
   38.6000         81.79193812         -0.33000298  
   38.8000         81.68030343         -0.33984563  
   39.0000         82.42386514         -0.48728129  
   39.2000         78.57154738         -0.39078044  
   39.4000         75.40277759         -0.39487668  
   39.6000         72.78946212         -0.42524968  
   39.8000         73.89404626         -0.36547857  
   40.0000         73.65693669         -0.34776397  
