time (ns)   horizontal Rotation (rad)   vertical Rotation (rad) @ 300 K
   30.0000      -2525.25949260         95.86349471  
   30.2000      -2515.92297164         89.78075138  
   30.4000      -2520.50913128         59.42655373  
   30.6000      -2559.34675454         49.57186720  
   30.8000      -2596.03789421        169.70767125  
   31.0000      -2639.47965952        209.83805250  
   31.2000      -2663.97659145        217.91382353  
   31.4000      -2697.85165356        212.12070542  
   31.6000      -2744.08396663        220.90154383  
   31.8000      -2764.88018290        198.88063862  
   32.0000      -2785.21926461        210.23225963  
   32.2000      -2806.08500163        218.68196877  
   32.4000      -2848.73715734        209.00778330  
   32.6000      -2837.18290755        202.49891990  
   32.8000      -2833.69654962        214.54527918  
   33.0000      -2798.09868345        210.47379520  
   33.2000      -2808.40991869        145.97543075  
   33.4000      -2817.31881539        152.07825448  
   33.6000      -2845.63378245        148.39310018  
   33.8000      -2881.33529508        130.19447032  
   34.0000      -2946.28596818        149.93018428  
   34.2000      -3026.72404539        154.74705622  
   34.4000      -3079.19844902        182.37728976  
   34.6000      -3155.04022660        186.12370285  
   34.8000      -3213.09973175        216.97662423  
   35.0000      -3332.21180386        213.63012013  
   35.2000      -3440.31777491        214.36966678  
   35.4000      -3537.28047150        213.05762427  
   35.6000      -3607.96354399        221.35032605  
   35.8000      -3665.25870861        222.77240743  
   36.0000      -3697.70274043        255.19473991  
   36.2000      -3697.40830346        256.80220331  
   36.4000      -3658.63884285        261.02348848  
   36.6000      -3605.62462972        253.26337237  
   36.8000      -3518.02847679        259.17702144  
   37.0000      -3442.89755462        272.10382087  
   37.2000      -3390.09144909        256.50508150  
   37.4000      -3369.38546185        190.44343772  
   37.6000      -3308.76349210        206.00470684  
   37.8000      -3241.13549370        212.15167118  
   38.0000      -3192.45528876        218.94172253  
   38.2000      -3143.09854180        220.42991282  
   38.4000      -3113.31729120        224.55844759  
   38.6000      -3106.47684624        153.59561892  
   38.8000      -3064.28524044        122.85730545  
   39.0000      -3017.66758666        120.36112083  
   39.2000      -2985.57746490        121.84884108  
   39.4000      -3000.47075781        133.67305971  
   39.6000      -3039.70690166        153.74737087  
   39.8000      -3064.47858228        203.49904351  
   40.0000      -3105.49976428        212.65080160  
