Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 pentagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
   74.0000         -0.61797007         -0.62204268         -0.62651147         -0.62789719         -0.61495332 
   75.0000         -0.61805251         -0.62185422         -0.62651111         -0.62792844         -0.61496874 
   76.0000         -0.61817129         -0.62164117         -0.62647677         -0.62791468         -0.61498406 
   77.0000         -0.61826043         -0.62148960         -0.62652144         -0.62793598         -0.61502987 
   78.0000         -0.61840886         -0.62127734         -0.62650172         -0.62793376         -0.61501663 
   79.0000         -0.61853620         -0.62109941         -0.62647256         -0.62796720         -0.61501409 
   80.0000         -0.61870078         -0.62089758         -0.62644361         -0.62796688         -0.61498751 
   81.0000         -0.61886157         -0.62076269         -0.62645890         -0.62794200         -0.61492721 
   82.0000         -0.61906242         -0.62062670         -0.62644486         -0.62793653         -0.61491173 
   83.0000         -0.61924228         -0.62054091         -0.62651667         -0.62796054         -0.61492634 
   84.0000         -0.61947878         -0.62047591         -0.62651931         -0.62798388         -0.61497114 
   85.0000         -0.61966621         -0.62036265         -0.62648727         -0.62799093         -0.61492646 
   86.0000         -0.61985285         -0.62028609         -0.62648531         -0.62797723         -0.61492191 
   87.0000         -0.62003679         -0.62019378         -0.62651480         -0.62796763         -0.61489302 
   88.0000         -0.62024659         -0.62010602         -0.62647676         -0.62798177         -0.61495418 
   89.0000         -0.62044085         -0.62009184         -0.62647450         -0.62800090         -0.61499201 
   90.0000         -0.62063728         -0.62001747         -0.62639420         -0.62795629         -0.61497642 
   91.0000         -0.62083923         -0.62009185         -0.62647451         -0.62800091         -0.61499202 
   92.0000         -0.62109536         -0.62010603         -0.62647679         -0.62798178         -0.61495421 
   93.0000         -0.62138403         -0.62019379         -0.62651484         -0.62796764         -0.61489307 
   94.0000         -0.62158886         -0.62028612         -0.62648537         -0.62797726         -0.61492197 
   95.0000         -0.62183332         -0.62036268         -0.62648734         -0.62799095         -0.61492653 
   96.0000         -0.62205005         -0.62047595         -0.62651940         -0.62798391         -0.61497122 
   97.0000         -0.62218298         -0.62054094         -0.62651676         -0.62796058         -0.61492643 
   98.0000         -0.62236939         -0.62062674         -0.62644497         -0.62793657         -0.61491183 
   99.0000         -0.62255386         -0.62076274         -0.62645902         -0.62794205         -0.61492733 
  100.0000         -0.62272377         -0.62089763         -0.62644373         -0.62796693         -0.61498763 
  101.0000         -0.62291713         -0.62109947         -0.62647269         -0.62796725         -0.61501422 
  102.0000         -0.62309447         -0.62127740         -0.62650187         -0.62793382         -0.61501677 
  103.0000         -0.62322422         -0.62148966         -0.62652159         -0.62793604         -0.61503002 
  104.0000         -0.62336468         -0.62164123         -0.62647693         -0.62791474         -0.61498422 
  105.0000         -0.62345047         -0.62185429         -0.62651127         -0.62792850         -0.61496890 
  106.0000         -0.62350615         -0.62204274         -0.62651164         -0.62790222         -0.61494852 
  107.0000         -0.62354593         -0.62222942         -0.62650638         -0.62793556         -0.61500727 
  108.0000         -0.62356963         -0.62243713         -0.62645580         -0.62797375         -0.61505561 
  109.0000         -0.62356754         -0.62266969         -0.62648488         -0.62795153         -0.61503323 
  110.0000         -0.62355956         -0.62291908         -0.62656741         -0.62790897         -0.61498530 
  111.0000         -0.62354003         -0.62311529         -0.62655536         -0.62791042         -0.61501117 
  112.0000         -0.62344024         -0.62329199         -0.62655895         -0.62791161         -0.61508595 
  113.0000         -0.62333528         -0.62354602         -0.62657694         -0.62795799         -0.61511101 
  114.0000         -0.62321067         -0.62372164         -0.62655461         -0.62789191         -0.61512092 
  115.0000         -0.62307240         -0.62387693         -0.62658199         -0.62794994         -0.61513067 
  116.0000         -0.62292240         -0.62403458         -0.62657896         -0.62791027         -0.61508050 
  117.0000         -0.62277050         -0.62420850         -0.62660501         -0.62792090         -0.61504487 
  118.0000         -0.62259315         -0.62439349         -0.62662621         -0.62789664         -0.61503812 
  119.0000         -0.62243271         -0.62457320         -0.62669285         -0.62792659         -0.61506516 
  120.0000         -0.62231957         -0.62473100         -0.62672449         -0.62794647         -0.61510589 
  121.0000         -0.62211171         -0.62480190         -0.62668595         -0.62792570         -0.61506514 
  122.0000         -0.62189518         -0.62486935         -0.62670659         -0.62788023         -0.61503810 
  123.0000         -0.62170665         -0.62492851         -0.62674299         -0.62791426         -0.61504484 
  124.0000         -0.62148766         -0.62494401         -0.62673566         -0.62791364         -0.61508046 
  125.0000         -0.62122051         -0.62495489         -0.62671350         -0.62793850         -0.61513062 
  126.0000         -0.62105088         -0.62492206         -0.62669217         -0.62792518         -0.61512086 
  127.0000         -0.62084082         -0.62496401         -0.62674087         -0.62794752         -0.61511093 
  128.0000         -0.62066650         -0.62490260         -0.62677020         -0.62795136         -0.61508587 
  129.0000         -0.62046522         -0.62489640         -0.62677480         -0.62791110         -0.61501108 
  130.0000         -0.62024860         -0.62481184         -0.62678001         -0.62788081         -0.61498520 
  131.0000         -0.62006762         -0.62471940         -0.62678578         -0.62795962         -0.61503313 
  132.0000         -0.61987983         -0.62462871         -0.62682055         -0.62795372         -0.61505550 
  133.0000         -0.61967126         -0.62448140         -0.62682416         -0.62795662         -0.61500716 
  134.0000         -0.61950346         -0.62427273         -0.62677700         -0.62793914         -0.61494840 
  135.0000         -0.61930842         -0.62407415         -0.62673987         -0.62793100         -0.61496877 
  136.0000         -0.61912719         -0.62388214         -0.62673676         -0.62794229         -0.61498409 
  137.0000         -0.61895617         -0.62371189         -0.62673698         -0.62795877         -0.61502990 
  138.0000         -0.61888060         -0.62356478         -0.62675547         -0.62793159         -0.61501664 
