Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 hexagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
   74.0000         -0.64384381         -0.64518190         -0.64880516         -0.64939471         -0.63907305 
   75.0000         -0.64389167         -0.64521200         -0.64870862         -0.64922396         -0.63931927 
   76.0000         -0.64401442         -0.64524650         -0.64863621         -0.64904958         -0.63949256 
   77.0000         -0.64408684         -0.64527475         -0.64846517         -0.64886603         -0.63972156 
   78.0000         -0.64414206         -0.64527699         -0.64839022         -0.64870531         -0.63999918 
   79.0000         -0.64422911         -0.64536279         -0.64830912         -0.64857858         -0.64022290 
   80.0000         -0.64431771         -0.64540172         -0.64821195         -0.64844343         -0.64040073 
   81.0000         -0.64438721         -0.64545368         -0.64814415         -0.64837040         -0.64064416 
   82.0000         -0.64445710         -0.64550815         -0.64805157         -0.64826551         -0.64084104 
   83.0000         -0.64446783         -0.64555483         -0.64798004         -0.64821794         -0.64105879 
   84.0000         -0.64452261         -0.64556332         -0.64794524         -0.64819977         -0.64128132 
   85.0000         -0.64463071         -0.64556275         -0.64790729         -0.64808717         -0.64136686 
   86.0000         -0.64462298         -0.64558248         -0.64782227         -0.64802491         -0.64151193 
   87.0000         -0.64463237         -0.64559829         -0.64779563         -0.64796427         -0.64160683 
   88.0000         -0.64465318         -0.64562959         -0.64776818         -0.64795104         -0.64170477 
   89.0000         -0.64463636         -0.64560655         -0.64776873         -0.64793068         -0.64174664 
   90.0000         -0.64466591         -0.64560897         -0.64778861         -0.64785471         -0.64179094 
   91.0000         -0.64468272         -0.64560655         -0.64776873         -0.64793068         -0.64174664 
   92.0000         -0.64465224         -0.64562959         -0.64776818         -0.64795104         -0.64170477 
   93.0000         -0.64460480         -0.64559829         -0.64779563         -0.64796427         -0.64160683 
   94.0000         -0.64456471         -0.64558248         -0.64782227         -0.64802491         -0.64151193 
   95.0000         -0.64455673         -0.64556275         -0.64790729         -0.64808717         -0.64136686 
   96.0000         -0.64450265         -0.64556332         -0.64794524         -0.64819977         -0.64128132 
   97.0000         -0.64443250         -0.64555483         -0.64798004         -0.64821794         -0.64105879 
   98.0000         -0.64436136         -0.64550815         -0.64805156         -0.64826551         -0.64084104 
   99.0000         -0.64430991         -0.64545368         -0.64814415         -0.64837537         -0.64063920 
  100.0000         -0.64427455         -0.64540172         -0.64821195         -0.64844342         -0.64040073 
