   log t (ps)      log MSD(A2)@ 5 K     log MSD(A2)@ 10 K   log MSD(A2)@ 20 K   log MSD(A2)@ 30 K   log MSD(A2)@ 60 K   log MSD(A2)@ 100 K  log MSD(A2)@ 300 K  log MSD(A2)@ 500 K    
    0.9638          2.04589196          1.77943318          1.27476117          1.05901968          0.62498594          0.43489079          0.09599401         -0.08574172 
    0.9731          2.06485343          1.79827972          1.29304017          1.07648270          0.64200973          0.44832226          0.10354904         -0.07520839 
    0.9823          2.08344893          1.81653723          1.31090507          1.09344696          0.65861234          0.46131943          0.11071290         -0.06518546 
    0.9912          2.10169410          1.83448784          1.32833252          1.10987482          0.67481218          0.47386597          0.11756308         -0.05568468 
    1.0000          2.11951154          1.85203852          1.34544227          1.12577604          0.69069668          0.48612051          0.12410819         -0.04677218 
    1.0086          2.13696215          1.86932147          1.36206681          1.14105060          0.70627174          0.49804679          0.13043025         -0.03830647 
    1.0170          2.15408359          1.88629535          1.37831153          1.15579048          0.72158330          0.50971896          0.13662095         -0.03020084 
    1.0253          2.17085984          1.90293784          1.39427788          1.17008385          0.73661403          0.52111069          0.14266096         -0.02240745 
    1.0334          2.18733094          1.91917208          1.40986751          1.18390391          0.75149703          0.53218588          0.14869541         -0.01500799 
    1.0414          2.20350916          1.93508535          1.42522546          1.19733358          0.76604849          0.54301686          0.15465263         -0.00800934 
    1.0492          2.21935966          1.95062705          1.44037086          1.21046727          0.78036304          0.55358155          0.16067456         -0.00142108 
    1.0569          2.23495423          1.96581206          1.45527983          1.22333416          0.79450545          0.56398987          0.16658879          0.00480532 
    1.0645          2.25017970          1.98061738          1.46997951          1.23592198          0.80840061          0.57432611          0.17250904          0.01081375 
    1.0719          2.26502476          1.99512773          1.48453392          1.24826427          0.82204327          0.58459378          0.17852119          0.01651383 
    1.0792          2.27963628          2.00933710          1.49887501          1.26043219          0.83538877          0.59486286          0.18469743          0.02185043 
    1.0864          2.29395886          2.02332328          1.51299418          1.27256680          0.84841894          0.60500390          0.19107304          0.02680159 
    1.0934          2.30801898          2.03707780          1.52687120          1.28454791          0.86111424          0.61506871          0.19753792          0.03141500 
