   log t (ps)      log MSD(A2)@ 5 K     log MSD(A2)@ 10 K   log MSD(A2)@ 20 K   log MSD(A2)@ 30 K   log MSD(A2)@ 60 K   log MSD(A2)@ 100 K  log MSD(A2)@ 300 K  log MSD(A2)@ 500 K    
    2.0245          4.08017249          3.81669295          3.09711222          2.78923648          2.19164533          1.78913507          1.23010576          0.71077598 
    2.0253          4.08178645          3.81819882          3.09821465          2.79027336          2.19224299          1.78969257          1.23060014          0.71038771 
    2.0261          4.08338918          3.81969996          3.09931252          2.79134384          2.19283983          1.79022966          1.23104092          0.70992236 
    2.0269          4.08497538          3.82120341          3.10040170          2.79243344          2.19343146          1.79074152          1.23147008          0.70932872 
    2.0278          4.08656063          3.82270653          3.10148812          2.79355163          2.19400469          1.79123161          1.23187919          0.70858241 
    2.0286          4.08814502          3.82419906          3.10257863          2.79469545          2.19455020          1.79170441          1.23228036          0.70772078 
    2.0294          4.08972709          3.82570208          3.10367630          2.79587459          2.19509956          1.79216656          1.23265469          0.70669940 
    2.0302          4.09131278          3.82719992          3.10476516          2.79707859          2.19565380          1.79263745          1.23300185          0.70552854 
    2.0310          4.09290275          3.82869379          3.10584815          2.79828717          2.19621096          1.79307956          1.23334477          0.70423344 
    2.0318          4.09448254          3.83018686          3.10692504          2.79949787          2.19677475          1.79354348          1.23369856          0.70282028 
    2.0326          4.09606924          3.83167259          3.10798651          2.80071178          2.19735325          1.79402186          1.23400218          0.70122516 
    2.0334          4.09765118          3.83315476          3.10903439          2.80193657          2.19795040          1.79451219          1.23426412          0.69949284 
    2.0342          4.09922098          3.83463402          3.11005485          2.80316430          2.19854113          1.79501462          1.23451588          0.69764311 
    2.0350          4.10078040          3.83611279          3.11105676          2.80439673          2.19914349          1.79553714          1.23474073          0.69571498 
    2.0358          4.10234109          3.83757039          3.11204824          2.80563584          2.19971883          1.79607153          1.23497458          0.69371759 
    2.0366          4.10390255          3.83902112          3.11303667          2.80688628          2.20028105          1.79661169          1.23520453          0.69168790 
    2.0374          4.10546739          3.84046226          3.11403358          2.80814144          2.20083876          1.79716212          1.23539136          0.68959750 
    2.0382          4.10703153          3.84189762          3.11504737          2.80938144          2.20137876          1.79771103          1.23560283          0.68745075 
    2.0390          4.10859245          3.84332738          3.11607791          2.81061381          2.20189504          1.79828515          1.23578868          0.68527224 
    2.0398          4.11014388          3.84476788          3.11712646          2.81186216          2.20239178          1.79890777          1.23590288          0.68314034 
    2.0406          4.11168595          3.84621542          3.11818880          2.81310700          2.20286295          1.79957767          1.23596703          0.68105398 
    2.0414          4.11322498          3.84766835          3.11926299          2.81434856          2.20331925          1.80026445          1.23600544          0.67910947 
    2.0422          4.11475829          3.84912753          3.12032129          2.81558780          2.20377566          1.80095290          1.23599853          0.67728078 
    2.0430          4.11628312          3.85058509          3.12136330          2.81683876          2.20422679          1.80163160          1.23590294          0.67560286 
    2.0438          4.11781396          3.85204568          3.12238998          2.81809750          2.20467156          1.80227356          1.23573579          0.67410962 
    2.0445          4.11933903          3.85351218          3.12341370          2.81935257          2.20511430          1.80288989          1.23551592          0.67281045 
    2.0453          4.12086699          3.85498514          3.12441796          2.82059782          2.20553439          1.80351286          1.23521006          0.67177941 
    2.0461          4.12239474          3.85645802          3.12541517          2.82183163          2.20597984          1.80412213          1.23487988          0.67106912 
    2.0469          4.12392070          3.85794246          3.12640931          2.82304747          2.20643129          1.80470165          1.23449041          0.67067285 
    2.0477          4.12545411          3.85942389          3.12739701          2.82427213          2.20688699          1.80525440          1.23407284          0.67064696 
    2.0484          4.12701092          3.86089083          3.12838067          2.82548795          2.20733655          1.80576952          1.23368046          0.67095075 
    2.0492          4.12857243          3.86234895          3.12934355          2.82671540          2.20779019          1.80627689          1.23336856          0.67155068 
    2.0500          4.13013386          3.86379850          3.13030709          2.82794438          2.20826535          1.80674676          1.23307472          0.67236254 
    2.0508          4.13169550          3.86522683          3.13126933          2.82918985          2.20876005          1.80719046          1.23281814          0.67342698 
    2.0515          4.13323668          3.86663709          3.13224050          2.83045156          2.20927604          1.80761934          1.23259398          0.67467979 
    2.0523          4.13477051          3.86804340          3.13320793          2.83172539          2.20981156          1.80804004          1.23241781          0.67608031 
    2.0531          4.13629763          3.86943764          3.13417550          2.83300478          2.21036911          1.80844028          1.23222526          0.67754299 
    2.0538          4.13781994          3.87081306          3.13512808          2.83428203          2.21099423          1.80884279          1.23195509          0.67903519 
    2.0546          4.13935288          3.87219099          3.13607941          2.83554306          2.21168310          1.80921186          1.23169083          0.68052237 
    2.0554          4.14088875          3.87356522          3.13703336          2.83679141          2.21241685          1.80958719          1.23137546          0.68196417 
    2.0561          4.14242162          3.87494234          3.13798584          2.83803814          2.21321875          1.80994117          1.23104635          0.68331163 
    2.0569          4.14394539          3.87631326          3.13893430          2.83929061          2.21406975          1.81027965          1.23072977          0.68462016 
    2.0577          4.14547205          3.87768006          3.13988898          2.84054163          2.21491554          1.81062072          1.23037466          0.68589055 
    2.0584          4.14699278          3.87904702          3.14085258          2.84179408          2.21578460          1.81096150          1.22995339          0.68705261 
    2.0592          4.14850513          3.88041666          3.14180953          2.84304915          2.21668433          1.81130711          1.22948533          0.68813672 
    2.0599          4.15001962          3.88177936          3.14275577          2.84430353          2.21758678          1.81164464          1.22896119          0.68917835 
    2.0607          4.15152992          3.88313576          3.14369226          2.84555763          2.21848050          1.81201614          1.22839474          0.69013748 
    2.0615          4.15302836          3.88448431          3.14462643          2.84683455          2.21936004          1.81239794          1.22782037          0.69102176 
    2.0622          4.15451543          3.88582853          3.14555581          2.84813943          2.22021750          1.81277811          1.22720113          0.69185199 
    2.0630          4.15599393          3.88717055          3.14646739          2.84946394          2.22103956          1.81315398          1.22652097          0.69257927 
    2.0637          4.15746969          3.88851139          3.14736730          2.85079375          2.22183002          1.81353508          1.22577160          0.69328109 
    2.0645          4.15894281          3.88984617          3.14826135          2.85211076          2.22259113          1.81391961          1.22500291          0.69396364 
    2.0652          4.16041899          3.89116310          3.14913819          2.85341674          2.22333159          1.81426904          1.22419474          0.69466257 
    2.0660          4.16189409          3.89248161          3.15000457          2.85471823          2.22407317          1.81457340          1.22335184          0.69535859 
    2.0667          4.16337273          3.89379755          3.15085437          2.85599957          2.22478512          1.81483193          1.22248766          0.69615022 
    2.0674          4.16483649          3.89510943          3.15169176          2.85727310          2.22547264          1.81506456          1.22158112          0.69702317 
    2.0682          4.16628746          3.89641638          3.15250537          2.85855167          2.22615554          1.81530686          1.22064794          0.69801066 
    2.0689          4.16772976          3.89772055          3.15331691          2.85983210          2.22681004          1.81553193          1.21973939          0.69920163 
    2.0697          4.16917353          3.89902573          3.15410910          2.86112608          2.22744081          1.81574567          1.21880802          0.70057337 
    2.0704          4.17062629          3.90031974          3.15488668          2.86243020          2.22804236          1.81599191          1.21791074          0.70207938 
    2.0711          4.17207613          3.90161609          3.15565426          2.86374087          2.22862091          1.81624693          1.21708191          0.70372386 
    2.0719          4.17352111          3.90291266          3.15642239          2.86505285          2.22918593          1.81653366          1.21629972          0.70544795 
    2.0726          4.17495588          3.90421234          3.15719948          2.86637199          2.22972037          1.81684779          1.21558802          0.70722942 
    2.0734          4.17638757          3.90551542          3.15799008          2.86770678          2.23023259          1.81719631          1.21497321          0.70903377 
    2.0741          4.17781949          3.90681322          3.15877564          2.86904511          2.23072607          1.81758491          1.21443776          0.71087823 
    2.0748          4.17923760          3.90811081          3.15957163          2.87039984          2.23119569          1.81802282          1.21400164          0.71278243 
    2.0755          4.18065083          3.90940944          3.16037496          2.87175837          2.23164515          1.81849853          1.21365388          0.71476046 
    2.0763          4.18205994          3.91070488          3.16118967          2.87312026          2.23209664          1.81900069          1.21337090          0.71679713 
    2.0770          4.18345874          3.91200467          3.16201657          2.87448789          2.23252139          1.81953257          1.21314504          0.71886431 
    2.0777          4.18485001          3.91331342          3.16285364          2.87586971          2.23293662          1.82011966          1.21293724          0.72097111 
    2.0785          4.18624076          3.91461533          3.16368926          2.87725746          2.23334290          1.82074390          1.21277956          0.72314492 
    2.0792          4.18762344          3.91592726          3.16453390          2.87865571          2.23375486          1.82139882          1.21266002          0.72537537 
    2.0799          4.18900608          3.91723870          3.16539133          2.88005138          2.23418874          1.82208967          1.21247972          0.72768460 
    2.0806          4.19038274          3.91854114          3.16626786          2.88143978          2.23462723          1.82282089          1.21224101          0.73007982 
    2.0813          4.19173851          3.91984414          3.16715893          2.88282317          2.23508106          1.82357189          1.21194277          0.73254169 
    2.0821          4.19309126          3.92114640          3.16806176          2.88419250          2.23556593          1.82436710          1.21159141          0.73502500 
    2.0828          4.19444844          3.92243408          3.16897484          2.88552824          2.23605925          1.82519617          1.21119547          0.73753937 
    2.0835          4.19580197          3.92372563          3.16987930          2.88681876          2.23656051          1.82604627          1.21074118          0.74008615 
    2.0842          4.19715272          3.92500885          3.17077840          2.88809356          2.23704615          1.82691694          1.21026444          0.74261943 
    2.0849          4.19851122          3.92629060          3.17168435          2.88933982          2.23751652          1.82777581          1.20974413          0.74511648 
    2.0856          4.19987237          3.92758010          3.17258168          2.89058496          2.23798549          1.82862137          1.20922345          0.74765483 
    2.0864          4.20123940          3.92887715          3.17347974          2.89182714          2.23842262          1.82946138          1.20878621          0.75022380 
    2.0871          4.20260646          3.93017386          3.17437596          2.89307522          2.23882390          1.83030400          1.20840698          0.75281647 
    2.0878          4.20396252          3.93145953          3.17525953          2.89434581          2.23918956          1.83113911          1.20806484          0.75546553 
    2.0885          4.20531289          3.93273958          3.17614974          2.89561215          2.23952489          1.83196419          1.20774948          0.75816546 
    2.0892          4.20666465          3.93402103          3.17703463          2.89688181          2.23982866          1.83276374          1.20743847          0.76089340 
    2.0899          4.20801985          3.93531934          3.17790948          2.89815283          2.24011958          1.83356123          1.20715736          0.76368210 
    2.0906          4.20937450          3.93662138          3.17878722          2.89942143          2.24039765          1.83434887          1.20692465          0.76655378 
    2.0913          4.21072089          3.93792592          3.17966579          2.90068513          2.24066300          1.83513216          1.20672543          0.76947740 
    2.0920          4.21205300          3.93922668          3.18054579          2.90193638          2.24090871          1.83590868          1.20660782          0.77243874 
    2.0927          4.21338613          3.94051716          3.18143236          2.90317855          2.24115379          1.83669290          1.20652541          0.77546922 
    2.0934          4.21471921          3.94180652          3.18231507          2.90441248          2.24141322          1.83748085          1.20649139          0.77859895 
    2.0941          4.21603643          3.94308251          3.18319179          2.90563324          2.24167218          1.83827203          1.20648630          0.78178328 
    2.0948          4.21735387          3.94434755          3.18406512          2.90684494          2.24196355          1.83906336          1.20652171          0.78506552 
    2.0955          4.21866657          3.94560651          3.18494462          2.90803901          2.24227781          1.83988696          1.20660511          0.78837953 
    2.0962          4.21997641          3.94687246          3.18584435          2.90921894          2.24261009          1.84074545          1.20675522          0.79172950 
    2.0969          4.22127581          3.94813327          3.18674525          2.91039540          2.24296803          1.84164191          1.20697931          0.79513386 
    2.0976          4.22256779          3.94938731          3.18764154          2.91153661          2.24335423          1.84255703          1.20727170          0.79854046 
    2.0983          4.22385440          3.95062685          3.18855398          2.91266172          2.24375442          1.84350297          1.20762936          0.80197475 
    2.0990          4.22514397          3.95186126          3.18947251          2.91376864          2.24415804          1.84451843          1.20804174          0.80536636 
    2.0997          4.22642033          3.95308602          3.19039818          2.91486617          2.24461034          1.84558181          1.20851671          0.80866726 
    2.1004          4.22768037          3.95431153          3.19133790          2.91596082          2.24510671          1.84666420          1.20895769          0.81192371 
    2.1011          4.22893603          3.95552928          3.19228036          2.91706351          2.24562476          1.84774003          1.20939733          0.81507823 
    2.1017          4.23019536          3.95675323          3.19323649          2.91817613          2.24615701          1.84882239          1.20984326          0.81804158 
    2.1024          4.23144720          3.95797944          3.19420922          2.91929757          2.24670597          1.84992043          1.21032561          0.82079928 
    2.1031          4.23269299          3.95921439          3.19519882          2.92041840          2.24727996          1.85102828          1.21083816          0.82339905 
    2.1038          4.23393434          3.96044294          3.19620675          2.92154959          2.24787084          1.85213473          1.21135874          0.82580247 
    2.1045          4.23517192          3.96167098          3.19723437          2.92267757          2.24848475          1.85321491          1.21194416          0.82799674 
    2.1052          4.23640421          3.96288811          3.19828744          2.92379549          2.24909099          1.85425393          1.21262907          0.83003500 
    2.1059          4.23763512          3.96409966          3.19935500          2.92489838          2.24969656          1.85525276          1.21340326          0.83192666 
    2.1065          4.23886912          3.96531347          3.20043722          2.92599026          2.25029380          1.85622591          1.21428293          0.83371145 
    2.1072          4.24009298          3.96652400          3.20152738          2.92707533          2.25086786          1.85717916          1.21525487          0.83542791 
    2.1079          4.24130921          3.96773776          3.20262917          2.92816107          2.25142309          1.85810331          1.21635435          0.83708451 
    2.1086          4.24251792          3.96894499          3.20373730          2.92924530          2.25195290          1.85899803          1.21755379          0.83868366 
    2.1092          4.24371178          3.97014391          3.20485986          2.93032756          2.25244741          1.85987390          1.21884597          0.84028526 
    2.1099          4.24489241          3.97133976          3.20597545          2.93139607          2.25289666          1.86074378          1.22014352          0.84190170 
    2.1106          4.24606605          3.97253120          3.20710329          2.93246926          2.25329878          1.86159126          1.22148398          0.84355078 
    2.1113          4.24724486          3.97372299          3.20822405          2.93355122          2.25364899          1.86241688          1.22284370          0.84528396 
    2.1119          4.24842947          3.97491510          3.20933679          2.93463981          2.25398306          1.86323410          1.22417257          0.84704115 
    2.1126          4.24960618          3.97610855          3.21044165          2.93573786          2.25428177          1.86403482          1.22545484          0.84884631 
    2.1133          4.25077682          3.97730291          3.21155118          2.93684444          2.25453111          1.86481009          1.22672676          0.85071864 
    2.1139          4.25195627          3.97849627          3.21266878          2.93796014          2.25473947          1.86554961          1.22800426          0.85261949 
    2.1146          4.25313646          3.97968435          3.21379756          2.93909022          2.25491244          1.86625031          1.22928516          0.85457411 
    2.1153          4.25432316          3.98087195          3.21493932          2.94022996          2.25508351          1.86692567          1.23057692          0.85654516 
    2.1159          4.25551010          3.98205878          3.21609640          2.94137729          2.25524272          1.86758003          1.23191081          0.85854416 
    2.1166          4.25669381          3.98323255          3.21726031          2.94251291          2.25539946          1.86820834          1.23326841          0.86051172 
    2.1173          4.25787681          3.98439593          3.21841155          2.94362540          2.25555826          1.86881849          1.23469792          0.86246448 
    2.1179          4.25906577          3.98554666          3.21955887          2.94470806          2.25574151          1.86941583          1.23620877          0.86437934 
    2.1186          4.26026255          3.98668873          3.22069304          2.94576301          2.25591717          1.87000553          1.23776974          0.86623540 
    2.1193          4.26146355          3.98782801          3.22182417          2.94680747          2.25610224          1.87058114          1.23939871          0.86798107 
    2.1199          4.26266868          3.98896344          3.22295920          2.94784223          2.25631085          1.87118502          1.24106780          0.86964816 
    2.1206          4.26387854          3.99008848          3.22409543          2.94888695          2.25654376          1.87179487          1.24274313          0.87125640 
    2.1212          4.26509320          3.99121569          3.22523754          2.94995901          2.25679910          1.87241034          1.24439956          0.87278265 
    2.1219          4.26631382          3.99234668          3.22639136          2.95104118          2.25708196          1.87305001          1.24608164          0.87424859 
    2.1225          4.26753261          3.99347984          3.22755860          2.95214290          2.25738514          1.87371085          1.24775372          0.87568633 
    2.1232          4.26875210          3.99462138          3.22872411          2.95326132          2.25771308          1.87439063          1.24939538          0.87711374 
    2.1239          4.26996600          3.99576192          3.22989576          2.95439036          2.25805056          1.87507860          1.25102459          0.87848889 
    2.1245          4.27117176          3.99690263          3.23106411          2.95552590          2.25841348          1.87576580          1.25263799          0.87986451 
    2.1252          4.27237617          3.99805730          3.23224594          2.95667075          2.25880542          1.87645660          1.25422789          0.88127816 
    2.1258          4.27358314          3.99923028          3.23343611          2.95780595          2.25921525          1.87716430          1.25582739          0.88270801 
    2.1265          4.27478689          4.00040053          3.23463121          2.95894155          2.25964089          1.87787699          1.25738415          0.88419538 
    2.1271          4.27599251          4.00156939          3.23583489          2.96008651          2.26007864          1.87858992          1.25887972          0.88575278 
    2.1278          4.27720233          4.00274616          3.23703633          2.96122333          2.26052748          1.87927917          1.26036304          0.88736016 
    2.1284          4.27840594          4.00392783          3.23823240          2.96236791          2.26098545          1.87996664          1.26178594          0.88900716 
    2.1290          4.27960639          4.00511052          3.23941918          2.96351596          2.26144970          1.88064065          1.26311291          0.89066811 
    2.1297          4.28080830          4.00628357          3.24060455          2.96466380          2.26189553          1.88127886          1.26436338          0.89233499 
    2.1303          4.28201982          4.00744709          3.24179569          2.96581643          2.26233390          1.88189781          1.26552161          0.89399970 
    2.1310          4.28322644          4.00860414          3.24298555          2.96696283          2.26277161          1.88248267          1.26659035          0.89564633 
    2.1316          4.28443141          4.00975466          3.24418750          2.96810768          2.26320838          1.88303949          1.26757784          0.89722277 
    2.1323          4.28563090          4.01090906          3.24540325          2.96922698          2.26362846          1.88359184          1.26844241          0.89871958 
    2.1329          4.28682230          4.01205499          3.24662649          2.97033204          2.26404331          1.88413606          1.26919438          0.90012224 
    2.1335          4.28800713          4.01319187          3.24786854          2.97142043          2.26445961          1.88470204          1.26981769          0.90142911 
    2.1342          4.28918897          4.01432418          3.24912139          2.97249860          2.26485816          1.88529236          1.27034949          0.90263074 
    2.1348          4.29036913          4.01545230          3.25038172          2.97357994          2.26526029          1.88590529          1.27076807          0.90379230 
    2.1355          4.29154263          4.01657915          3.25164690          2.97466146          2.26566334          1.88653801          1.27107771          0.90487830 
    2.1361          4.29271242          4.01769862          3.25290365          2.97575693          2.26607875          1.88719422          1.27131702          0.90591254 
    2.1367          4.29388590          4.01882157          3.25415072          2.97685686          2.26652664          1.88787778          1.27148812          0.90691529 
    2.1374          4.29506704          4.01994895          3.25539156          2.97797303          2.26699082          1.88858604          1.27161245          0.90787615 
    2.1380          4.29624807          4.02107605          3.25660950          2.97909678          2.26747578          1.88931885          1.27164879          0.90881770 
    2.1386          4.29742937          4.02220870          3.25780663          2.98022759          2.26798571          1.89007083          1.27164015          0.90977211 
    2.1392          4.29860747          4.02333960          3.25899441          2.98137096          2.26853394          1.89083705          1.27159548          0.91069586 
    2.1399          4.29979281          4.02447899          3.26017831          2.98252827          2.26911393          1.89156863          1.27148580          0.91157655 
    2.1405          4.30098482          4.02561783          3.26135478          2.98369924          2.26973589          1.89228554          1.27130353          0.91243699 
    2.1411          4.30218089          4.02675555          3.26253608          2.98487422          2.27040454          1.89300031          1.27108500          0.91327559 
    2.1418          4.30336509          4.02789253          3.26372243          2.98606124          2.27111098          1.89371699          1.27078894          0.91403410 
    2.1424          4.30453775          4.02902834          3.26490362          2.98724601          2.27186407          1.89442221          1.27045659          0.91466719 
    2.1430          4.30570954          4.03016259          3.26608575          2.98842792          2.27265974          1.89511016          1.27008717          0.91524596 
    2.1436          4.30688868          4.03129041          3.26727765          2.98961350          2.27348449          1.89582137          1.26968911          0.91574915 
    2.1443          4.30807309          4.03242019          3.26847104          2.99078613          2.27436393          1.89656713          1.26927242          0.91612273 
    2.1449          4.30925943          4.03355281          3.26966352          2.99194861          2.27527495          1.89730997          1.26887806          0.91638594 
    2.1455          4.31044015          4.03468889          3.27085489          2.99308373          2.27622059          1.89808046          1.26847506          0.91654178 
    2.1461          4.31160964          4.03582892          3.27205174          2.99420469          2.27719336          1.89882000          1.26805195          0.91658331 
    2.1467          4.31277571          4.03696299          3.27325946          2.99531259          2.27817947          1.89951170          1.26760842          0.91652856 
    2.1474          4.31395223          4.03809473          3.27446947          2.99641391          2.27916667          1.90015585          1.26719971          0.91634264 
    2.1480          4.31511643          4.03921755          3.27566417          2.99750226          2.28017005          1.90077207          1.26682540          0.91605231 
    2.1486          4.31628226          4.04033535          3.27685911          2.99857526          2.28117871          1.90133568          1.26649371          0.91565022 
    2.1492          4.31745435          4.04145126          3.27804184          2.99964063          2.28216432          1.90183950          1.26621416          0.91514059 
    2.1498          4.31862316          4.04256533          3.27922504          3.00070401          2.28312836          1.90227293          1.26598688          0.91455803 
    2.1504          4.31978571          4.04368219          3.28040930          3.00177516          2.28407985          1.90263308          1.26582144          0.91391066 
    2.1511          4.32093466          4.04479265          3.28158544          3.00286647          2.28500188          1.90295149          1.26569770          0.91326346 
    2.1517          4.32208479          4.04590013          3.28275105          3.00396601          2.28589731          1.90322309          1.26563131          0.91263137 
    2.1523          4.32323339          4.04700984          3.28389874          3.00506783          2.28677876          1.90346634          1.26563788          0.91201895 
    2.1529          4.32438601          4.04811253          3.28503351          3.00616685          2.28762811          1.90366062          1.26569442          0.91145522 
    2.1535          4.32554178          4.04921141          3.28615687          3.00724883          2.28846976          1.90381866          1.26582512          0.91097154 
    2.1541          4.32670908          4.05030756          3.28726651          3.00832970          2.28928696          1.90394178          1.26602817          0.91059003 
    2.1547          4.32787678          4.05139957          3.28836786          3.00941563          2.29009688          1.90404649          1.26636129          0.91033025 
    2.1553          4.32903806          4.05249861          3.28946459          3.01051297          2.29091139          1.90411797          1.26679936          0.91021168 
    2.1559          4.33019233          4.05359934          3.29056223          3.01161878          2.29171226          1.90415353          1.26732830          0.91023179 
    2.1565          4.33134709          4.05470145          3.29165026          3.01273535          2.29249407          1.90418706          1.26794302          0.91036924 
    2.1572          4.33249943          4.05580051          3.29272259          3.01385895          2.29326075          1.90420413          1.26861651          0.91060189 
    2.1578          4.33364405          4.05688863          3.29378892          3.01497369          2.29403154          1.90417067          1.26934219          0.91089193 
    2.1584          4.33477829          4.05797402          3.29484167          3.01608759          2.29479341          1.90410609          1.27011961          0.91122867 
    2.1590          4.33591531          4.05904921          3.29588845          3.01719912          2.29555102          1.90399434          1.27094719          0.91162429 
    2.1596          4.33704828          4.06011366          3.29693119          3.01829810          2.29631077          1.90384393          1.27180740          0.91203681 
    2.1602          4.33817850          4.06117684          3.29796444          3.01938153          2.29706525          1.90367175          1.27272226          0.91244123 
    2.1608          4.33930637          4.06223317          3.29900409          3.02046091          2.29782558          1.90344671          1.27363393          0.91285275 
    2.1614          4.34042786          4.06328325          3.30003873          3.02153104          2.29859337          1.90320499          1.27460389          0.91328006 
    2.1620          4.34155308          4.06432433          3.30106314          3.02260083          2.29935515          1.90293008          1.27559591          0.91367833 
    2.1626          4.34267940          4.06536158          3.30207923          3.02368073          2.30012716          1.90262396          1.27657626          0.91412029 
    2.1632          4.34380107          4.06639886          3.30308928          3.02476405          2.30090194          1.90230546          1.27758215          0.91456359 
    2.1638          4.34491759          4.06742511          3.30408819          3.02586059          2.30165842          1.90196292          1.27861581          0.91500254 
    2.1644          4.34603026          4.06844991          3.30507366          3.02697616          2.30239472          1.90160510          1.27969774          0.91542829 
    2.1649          4.34714536          4.06947675          3.30604787          3.02811850          2.30312751          1.90123815          1.28080469          0.91588890 
    2.1655          4.34825348          4.07050347          3.30700804          3.02927969          2.30384755          1.90085628          1.28190338          0.91637039 
    2.1661          4.34936487          4.07152510          3.30796748          3.03045404          2.30457089          1.90043694          1.28295430          0.91687033 
    2.1667          4.35047509          4.07253923          3.30893967          3.03162829          2.30529919          1.89998810          1.28399560          0.91743174 
    2.1673          4.35159533          4.07355031          3.30990640          3.03279573          2.30602819          1.89949780          1.28498268          0.91807807 
    2.1679          4.35271530          4.07457230          3.31087246          3.03395891          2.30675529          1.89898992          1.28594528          0.91886817 
    2.1685          4.35384027          4.07558981          3.31184516          3.03511875          2.30747023          1.89845486          1.28683457          0.91982595 
    2.1691          4.35496350          4.07661367          3.31283329          3.03627153          2.30817697          1.89793783          1.28769005          0.92097524 
    2.1697          4.35608172          4.07763829          3.31382710          3.03742445          2.30889266          1.89743819          1.28848111          0.92231990 
    2.1703          4.35719541          4.07866941          3.31482685          3.03858479          2.30961374          1.89692659          1.28923382          0.92387339 
    2.1708          4.35830419          4.07970192          3.31582986          3.03973749          2.31033445          1.89639731          1.28995075          0.92561956 
    2.1714          4.35941454          4.08074104          3.31684028          3.04088155          2.31104452          1.89589560          1.29062054          0.92756150 
    2.1720          4.36052677          4.08177977          3.31786358          3.04201415          2.31175242          1.89538873          1.29124867          0.92963779 
    2.1726          4.36164313          4.08283383          3.31889731          3.04312822          2.31243886          1.89488721          1.29185816          0.93180939 
    2.1732          4.36275828          4.08387691          3.31993358          3.04421111          2.31311215          1.89439833          1.29242230          0.93404917 
    2.1738          4.36386940          4.08492363          3.32098790          3.04526445          2.31377937          1.89392601          1.29293133          0.93634069 
    2.1744          4.36498304          4.08596965          3.32204648          3.04629947          2.31443188          1.89347774          1.29340108          0.93865595 
    2.1749          4.36609683          4.08701005          3.32309915          3.04730359          2.31507520          1.89303450          1.29382804          0.94098283 
    2.1755          4.36721044          4.08804834          3.32414019          3.04827114          2.31571574          1.89258638          1.29422666          0.94324636 
    2.1761          4.36832133          4.08907799          3.32516329          3.04921878          2.31634653          1.89211831          1.29459171          0.94545550 
    2.1767          4.36942824          4.09011365          3.32616351          3.05014946          2.31698142          1.89160841          1.29492660          0.94762972 
    2.1772          4.37053192          4.09115517          3.32715612          3.05106711          2.31764273          1.89109820          1.29526577          0.94974015 
    2.1778          4.37163176          4.09220042          3.32814173          3.05196601          2.31832033          1.89060892          1.29563549          0.95183075 
    2.1784          4.37272452          4.09323475          3.32911614          3.05285341          2.31902641          1.89013296          1.29600670          0.95388273 
    2.1790          4.37381138          4.09426231          3.33008436          3.05373263          2.31977070          1.88968956          1.29644425          0.95591748 
    2.1796          4.37488971          4.09529338          3.33104359          3.05460751          2.32053952          1.88931298          1.29693838          0.95793808 
    2.1801          4.37596482          4.09632071          3.33199326          3.05548589          2.32133342          1.88900127          1.29748171          0.95992696 
    2.1807          4.37703815          4.09735234          3.33295631          3.05637046          2.32215964          1.88874865          1.29806085          0.96187501 
    2.1813          4.37810407          4.09839074          3.33392139          3.05725176          2.32301674          1.88854229          1.29865157          0.96379961 
    2.1818          4.37916179          4.09942605          3.33489694          3.05814900          2.32390611          1.88841269          1.29923417          0.96573399 
    2.1824          4.38021287          4.10046163          3.33587683          3.05904484          2.32481966          1.88836403          1.29977001          0.96764835 
    2.1830          4.38126707          4.10149904          3.33684814          3.05993616          2.32574079          1.88839173          1.30029022          0.96952942 
    2.1836          4.38231249          4.10253442          3.33781631          3.06082011          2.32667427          1.88852338          1.30076639          0.97144968 
    2.1841          4.38335404          4.10356901          3.33877801          3.06170248          2.32761786          1.88871684          1.30116968          0.97340014 
    2.1847          4.38439924          4.10459950          3.33973498          3.06258512          2.32856113          1.88896965          1.30152637          0.97538154 
    2.1853          4.38543336          4.10562700          3.34068997          3.06347601          2.32950297          1.88927420          1.30186726          0.97741199 
    2.1858          4.38645781          4.10665088          3.34165164          3.06437287          2.33044886          1.88962863          1.30219059          0.97950645 
    2.1864          4.38747824          4.10767997          3.34261948          3.06527478          2.33139861          1.89003045          1.30247487          0.98166783 
    2.1870          4.38849133          4.10872119          3.34358809          3.06616395          2.33233970          1.89046984          1.30273682          0.98388368 
    2.1875          4.38949445          4.10976307          3.34456382          3.06705280          2.33328186          1.89091154          1.30299469          0.98613518 
    2.1881          4.39049006          4.11080332          3.34552884          3.06793418          2.33422645          1.89138120          1.30318627          0.98843420 
    2.1886          4.39148675          4.11184988          3.34648363          3.06881962          2.33515213          1.89188517          1.30333501          0.99077521 
    2.1892          4.39248349          4.11290779          3.34742928          3.06970552          2.33607074          1.89241325          1.30346457          0.99314876 
    2.1898          4.39347548          4.11396065          3.34836395          3.07058437          2.33698051          1.89298104          1.30362043          0.99554373 
    2.1903          4.39447134          4.11501083          3.34928859          3.07145934          2.33787271          1.89354134          1.30379331          0.99792741 
    2.1909          4.39546227          4.11605490          3.35021076          3.07232208          2.33875595          1.89410556          1.30401923          1.00028954 
    2.1915          4.39644652          4.11709952          3.35111444          3.07317202          2.33962247          1.89466842          1.30429135          1.00255042 
    2.1920          4.39742317          4.11815273          3.35199626          3.07402739          2.34046643          1.89522699          1.30459960          1.00476432 
    2.1926          4.39839567          4.11921431          3.35287048          3.07490045          2.34130114          1.89575940          1.30496233          1.00690481 
    2.1931          4.39936477          4.12027861          3.35372951          3.07578291          2.34210899          1.89627340          1.30536179          1.00891564 
