time (ns)   horizontal Ang. vel.(rad/ns)   vertical Ang. vel.(rad/ns) @ 300 K
   13.6000        298.82970000       -231.52049000  
   13.7000        246.48539000       -462.40285000  
   13.8000        180.79246000       -396.45284000  
   13.9000        266.09023000       -178.69205000  
   14.0000        177.39855000        153.76508000  
   14.1000        102.73190000        142.81480000  
   14.2000        159.91959000        -29.47263000  
   14.3000        209.23613000       -111.97481000  
   14.4000         72.75114200          1.24306200  
   14.5000         47.37127400       -153.24290000  
   14.6000         52.69082000         26.32434900  
   14.7000        -14.76896700       -307.46281000  
   14.8000       -106.07269000       -503.73625000  
   14.9000       -193.71380000        133.80034000  
   15.0000       -122.11719000        198.39305000  
   15.1000       -145.91442000       -220.76378000  
   15.2000       -119.55879000       -158.82150000  
   15.3000       -194.53295000         76.48301000  
   15.4000       -231.49033000        119.07557000  
   15.5000       -159.14948000        253.48500000  
   15.6000       -157.94185000        121.67909000  
   15.7000        -10.33978600       -206.75269000  
   15.8000         96.60515400         46.42533000  
   15.9000        161.56793000        322.24021000  
   16.0000        306.28631000         95.26966600  
   16.1000        137.86442000        174.86725000  
   16.2000         34.02035900         -1.30000660  
   16.3000        115.54015000        214.38287000  
   16.4000         50.84137600        159.04404000  
   16.5000          9.15165330        -27.44695700  
   16.6000         84.04731800       -120.30164000  
   16.7000         16.18702400       -194.92158000  
   16.8000         20.89908500       -371.76121000  
   16.9000        104.05806000         67.75465300  
   17.0000        168.71297000          2.42950160  
   17.1000        138.71960000        -27.57811600  
   17.2000        261.65234000       -108.43745000  
   17.3000        228.57080000       -274.22952000  
   17.4000        121.75748000         26.75733800  
   17.5000        -46.61147300        296.81618000  
   17.6000        -86.36394100        195.84159000  
   17.7000        -47.30426800        112.44347000  
   17.8000        119.15626000       -153.66124000  
   17.9000        148.19438000       -159.11285000  
   18.0000         41.34239500        143.12431000  
   18.1000         -7.71116150         81.98356500  
   18.2000        132.70280000       -244.15136000  
   18.3000        158.39423000        -36.26172900  
   18.4000         39.22226500          8.57313130  
   18.5000         22.52431700        -73.13957400  
   18.6000        -63.47954300        156.74791000  
   18.7000       -115.91068000        228.61531000  
   18.8000       -192.32825000        -92.27187300  
   18.9000        -99.91966200       -266.68816000  
   19.0000        -50.29860300        149.61481000  
   19.1000        -48.18224600       -292.20088000  
   19.2000       -120.02973000        206.96093000  
   19.3000       -233.45194000        -21.01887200  
   19.4000       -117.61350000         13.05657800  
   19.5000         15.96584800         24.17827700  
   19.6000         15.87189200        190.95463000  
   19.7000         57.83035900         -7.10643620  
   19.8000        166.06149000        122.77443000  
   19.9000        144.23056000        242.16475000  
   20.0000        211.15534000        -37.76695400  
   20.1000         50.65779200         81.19267500  
   20.2000        163.16955000        258.04491000  
   20.3000         30.43496700        226.44006000  
   20.4000        -35.08476600        -98.36430700  
   20.5000       -108.47695000        -50.94448300  
   20.6000         -2.78488340         70.36465800  
   20.7000        -72.72972400        -35.34560700  
   20.8000         19.45999200        168.04898000  
   20.9000         61.40209600         21.00417000  
   21.0000         36.99659500        -94.71756400  
   21.1000         76.74611100        417.54492000  
   21.2000         42.85294900       -133.08435000  
   21.3000         24.89479700        328.60896000  
   21.4000        -27.35358200        -88.48193300  
   21.5000         43.78354100         -4.08606150  
   21.6000         23.36487700         32.53379700  
   21.7000         36.63861400         77.68757000  
   21.8000       -108.92422000        125.72289000  
   21.9000       -200.39602000       -344.27903000  
   22.0000       -219.96837000        301.47157000  
   22.1000        -85.68080600        464.52166000  
   22.2000        -94.78764500        158.85981000  
   22.3000       -249.19923000        189.11993000  
   22.4000       -363.60695000       -155.24782000  
   22.5000       -445.33218000        234.56263000  
   22.6000       -370.53868000        -84.25171700  
   22.7000       -403.89026000         36.60045500  
   22.8000       -277.04163000        294.04298000  
   22.9000       -257.66439000       -313.54737000  
   23.0000       -210.61965000        355.81850000  
   23.1000       -309.17562000        319.97861000  
   23.2000       -155.26750000        209.73860000  
   23.3000       -131.36036000         73.16307100  
   23.4000        -90.07028400       -243.64030000  
   23.5000          9.11494990        -77.37907500  
   23.6000         44.34759400        -22.69849600  
   23.7000        152.22207000         43.40840100  
   23.8000         71.56953100        237.76856000  
   23.9000         21.37100400        -85.69422600  
   24.0000        -61.45904500        -85.24051200  
   24.1000        -69.22487800          7.33290310  
   24.2000         13.36175500       -212.36397000  
   24.3000          8.14925020       -186.63401000  
   24.4000        114.52455000        100.35699000  
