time (ns)   horizontal Ang. vel.(rad/ns)   vertical Ang. vel.(rad/ns) @ 10 K
   25.8000         52.16579200        -46.85330400
   25.9000        -24.56765100         24.38062400
   26.0000        -35.22731200          1.77054820
   26.1000        -29.30534700        -10.53296600
   26.2000         -5.17282930         15.95333200
   26.3000        -14.37344200         -3.76743550
   26.4000         -2.94504570         -5.13375910
   26.5000        -17.57376700         24.72643100
   26.6000        -31.72599700        -25.09826200
   26.7000         23.77379000        -12.95194800
   26.8000        -11.16423700         19.04001000
   26.9000        -18.10940000         41.87903300
   27.0000         53.44883400         19.26256300
   27.1000        -29.46149200         -6.01021200
   27.2000        -19.77008300        -23.25789700
   27.3000        -24.96391000        -10.81419300
   27.4000         29.93917600         -3.99272040
   27.5000         50.67955200         34.50762300
   27.6000         19.62805600         10.33872300
   27.7000         67.17567700        -34.36667600
   27.8000         32.62954200        -10.46111100
   27.9000        -49.57421700         11.02997900
   28.0000         28.08248100         -6.12538210
   28.1000        -51.87353100        -22.01335500
   28.2000         22.30465400         37.14489700
   28.3000         28.64978800         15.36159400
   28.4000         25.80666200         -9.57182720
   28.5000         33.37570500          0.30434690
   28.6000         -9.03372840         -1.66721600
   28.7000         -6.40283970         49.62740500
   28.8000        -35.25751400         15.34825500
   28.9000        -20.03071100         12.56574100
   29.0000         10.67421600         -7.92787170
   29.1000        -10.93131300         26.13990700
   29.2000        -26.46614700         62.17783100
   29.3000        -71.51499900        -10.11669600
   29.4000        -46.16986100         41.95356700
   29.5000        -11.65179900        -24.43807300
   29.6000        -23.18690100         10.18650400
   29.7000         18.36114200        -11.43790700
   29.8000          4.56399520        -44.72451400
   29.9000         12.87446800        -17.99812900
   30.0000        -15.41100100         30.72859300
   30.1000         -0.63641102        -14.39480600
   30.2000         11.38306400         19.13716100
   30.3000         63.18654900        -25.32458000
   30.4000         22.04843500         13.80445700
   30.5000         -5.71582550        -26.37702800
   30.6000        -18.63917200          0.64321729
   30.7000        -55.85526000         -0.95903376
   30.8000        -60.73026100        -20.84356600
   30.9000          9.31367370        -37.25750300
   31.0000        -24.91879500        -18.83547100
   31.1000         12.82141300         -4.46571480
   31.2000         47.84973200          0.76973614
   31.3000         37.89452600         53.52338200
   31.4000         22.04912900         66.81563700
   31.5000        -30.30080300         50.23672200
   31.6000         84.61320600        -11.85174500
   31.7000         -5.30239080         25.71375800
   31.8000         28.80959900        -55.17655400
   31.9000         43.17696900         34.61326600
   32.0000          0.88266895         62.90839500
   32.1000        -27.06187700        -71.23958200
   32.2000        -23.35394400         74.37642400
   32.3000        -16.74187300         35.36995100
   32.4000          8.33437840         -1.75337140
   32.5000        -25.44991800         23.25627400
   32.6000         39.95287700          3.14177810
   32.7000          5.26147270        -37.07291000
   32.8000         72.03206300         -6.61419810
   32.9000        -91.60194800          8.10245030
   33.0000        -50.44515300          1.57435900
   33.1000         27.84560600         -1.62940910
   33.2000        -46.89440300          3.08872510
   33.3000         21.59436100         32.59081500
   33.4000        -32.89503700        -23.97504200
   33.5000         29.35010700         49.87283400
   33.6000         25.36911800         14.28487000
   33.7000        -34.64308900        -76.20975200
   33.8000          7.46867770        -13.69034000
   33.9000         -6.50092890        -56.05424700
   34.0000        -29.25586900         -7.52532580
   34.1000         11.80967700         35.16498600
   34.2000         -2.83535410         23.21548700
   34.3000        -27.82951200        -42.81642200
   34.4000         17.97246700         40.77677100
   34.5000        -51.29869000         -4.47108560
   34.6000         -9.13078300        -35.79168500
   34.7000         26.70601800         -4.16993980
   34.8000          0.21636637        -40.56370600
   34.9000        -28.28363600         64.72576300
   35.0000         55.12965100         -1.87756490
   35.1000        -45.01860900         -9.56607580
   35.2000         -9.02625680         45.13633300
   35.3000         38.17405300        -50.78318700
   35.4000         29.97195200        -34.82766500
   35.5000        -32.07923400         17.72233700
   35.6000        -29.03249000        -26.41564200
   35.7000          4.75656740        -12.47662500
   35.8000        -10.59410600         43.56491000
   35.9000        -11.58105500        -12.82562600
   36.0000        -36.80572300        -14.21793800
   36.1000         11.57423900         48.37906400
   36.2000         11.36329500        -55.99292100
   36.3000         23.19630100        -47.02920900
   36.4000         21.17688300         20.22627800
   36.5000         48.35377000        -18.60347500
   36.6000         -8.04806800          4.63843020
   36.7000        -17.10648600         -6.62173170
   36.8000         34.75927000        -49.58825600
   36.9000        -35.76091100         82.68810200
   37.0000          3.83615240         42.97020000
   37.1000         13.99469200         55.16881900
   37.2000         22.28258800         19.54489100
   37.3000        -46.04104400          3.88974090
   37.4000         38.34904100        -11.97420600
   37.5000          1.50240060        -60.55689900
   37.6000         56.41128200         10.85782900
   37.7000         43.73051200          2.15614940
   37.8000        -38.28589100         -8.42126480
   37.9000         -6.50759650         50.33118100
   38.0000         10.50255400        -23.01253000
   38.1000          7.40010340        -10.90083600
   38.2000         19.08967300         22.82336000
   38.3000         11.68801300        -27.88816300
   38.4000        -60.77246000         31.11370100
   38.5000         -8.28086330         15.47092500
   38.6000         11.97521800         44.84376300
   38.7000         10.73625100         -9.44444590
   38.8000          8.45833090        -80.39237600
   38.9000         43.32715500         33.09930800
   39.0000         45.77919300        -61.17103500
   39.1000          2.48228170         69.80163300
   39.2000        -38.10755300         -3.05971710
   39.3000        -60.57779200          3.48549550
   39.4000        -42.63307000         85.58619300
   39.5000         43.23516100        -56.32522900
   39.6000        -27.86825700         32.08087000
   39.7000         39.48571400         55.07440400
   39.8000        -44.31296400        -26.86631800
   39.9000        -34.47573600        -47.25421100
   40.0000        -19.91991900         38.68204600
