#Graphene & C60 12*12 Data file for LAMMPS

		5744  atoms

		2  atom types

		
		-60.174		60.174 	xlo xhi
		-61.684		61.684 	ylo yhi
		-60 		60	 	zlo zhi

Masses

		1     12.011   # Graphene	(Nose_Hoover)
		2     12.011   # C60		(Nose_Hoover)

Atoms

129	1	20.2623948979595	-60.9739999655181	0
130	1	19.0343758979595	-60.2649999655181	0
131	1	19.0343758979595	-58.8469999655181	0
132	1	20.2623948979595	-58.1379999655181	0
133	1	22.7184418979595	-60.9739999655181	0
134	1	21.4904228979595	-60.2649999655181	0
135	1	21.4904228979595	-58.8469999655181	0
136	1	22.7184418979595	-58.1379999655181	0
137	1	25.1744888979595	-60.9739999655181	0
138	1	23.9464698979595	-60.2649999655181	0
139	1	23.9464698979595	-58.8469999655181	0
140	1	25.1744888979595	-58.1379999655181	0
141	1	27.6305438979595	-60.9739999655181	0
142	1	26.4025168979595	-60.2649999655181	0
143	1	26.4025168979595	-58.8469999655181	0
144	1	27.6305438979595	-58.1379999655181	0
145	1	30.0865908979595	-60.9739999655181	0
146	1	28.8585638979595	-60.2649999655181	0
147	1	28.8585638979595	-58.8469999655181	0
148	1	30.0865908979595	-58.1379999655181	0
149	1	32.5426378979595	-60.9739999655181	0
150	1	31.3146108979595	-60.2649999655181	0
151	1	31.3146108979595	-58.8469999655181	0
152	1	32.5426378979595	-58.1379999655181	0
153	1	34.9986848979595	-60.9739999655181	0
154	1	33.7706578979595	-60.2649999655181	0
155	1	33.7706578979595	-58.8469999655181	0
156	1	34.9986848979595	-58.1379999655181	0
157	1	37.4547318979595	-60.9739999655181	0
158	1	36.2267048979595	-60.2649999655181	0
159	1	36.2267048979595	-58.8469999655181	0
160	1	37.4547318979595	-58.1379999655181	0
161	1	39.9107788979595	-60.9739999655181	0
162	1	38.6827598979595	-60.2649999655181	0
163	1	38.6827598979595	-58.8469999655181	0
164	1	39.9107788979595	-58.1379999655181	0
165	1	42.3668268979595	-60.9739999655181	0
166	1	41.1388068979595	-60.2649999655181	0
167	1	41.1388068979595	-58.8469999655181	0
168	1	42.3668268979595	-58.1379999655181	0
169	1	44.8228738979595	-60.9739999655181	0
170	1	43.5948538979595	-60.2649999655181	0
171	1	43.5948538979595	-58.8469999655181	0
172	1	44.8228738979595	-58.1379999655181	0
173	1	47.2789278979595	-60.9739999655181	0
174	1	46.0509008979595	-60.2649999655181	0
175	1	46.0509008979595	-58.8469999655181	0
176	1	47.2789278979595	-58.1379999655181	0
177	1	49.7349748979595	-60.9739999655181	0
178	1	48.5069478979595	-60.2649999655181	0
179	1	48.5069478979595	-58.8469999655181	0
180	1	49.7349748979595	-58.1379999655181	0
181	1	52.1910218979595	-60.9739999655181	0
182	1	50.9629948979595	-60.2649999655181	0
183	1	50.9629948979595	-58.8469999655181	0
184	1	52.1910218979595	-58.1379999655181	0
185	1	54.6470688979595	-60.9739999655181	0
186	1	53.4190418979595	-60.2649999655181	0
187	1	53.4190418979595	-58.8469999655181	0
188	1	54.6470688979595	-58.1379999655181	0
189	1	57.1031168979595	-60.9739999655181	0
190	1	55.8750968979595	-60.2649999655181	0
191	1	55.8750968979595	-58.8469999655181	0
192	1	57.1031168979595	-58.1379999655181	0
193	1	59.5591638979595	-60.9739999655181	0
194	1	58.3311438979595	-60.2649999655181	0
195	1	58.3311438979595	-58.8469999655181	0
196	1	59.5591638979595	-58.1379999655181	0
197	1	-58.3311411020405	-56.7199999655181	0
198	1	-59.5591651020405	-56.0109999655181	0
199	1	-59.5591651020405	-54.5929999655181	0
200	1	-58.3311411020405	-53.8839999655181	0
201	1	-55.8750931020405	-56.7199999655181	0
202	1	-57.1031171020405	-56.0109999655181	0
203	1	-57.1031171020405	-54.5929999655181	0
204	1	-55.8750931020405	-53.8839999655181	0
205	1	-53.4190451020405	-56.7199999655181	0
206	1	-54.6470691020405	-56.0109999655181	0
207	1	-54.6470691020405	-54.5929999655181	0
208	1	-53.4190451020405	-53.8839999655181	0
209	1	-50.9629971020405	-56.7199999655181	0
210	1	-52.1910211020405	-56.0109999655181	0
211	1	-52.1910211020405	-54.5929999655181	0
212	1	-50.9629971020405	-53.8839999655181	0
213	1	-48.5069491020405	-56.7199999655181	0
214	1	-49.7349721020405	-56.0109999655181	0
215	1	-49.7349721020405	-54.5929999655181	0
216	1	-48.5069491020405	-53.8839999655181	0
217	1	-46.0509011020405	-56.7199999655181	0
218	1	-47.2789241020405	-56.0109999655181	0
219	1	-47.2789241020405	-54.5929999655181	0
220	1	-46.0509011020405	-53.8839999655181	0
221	1	-43.5948531020405	-56.7199999655181	0
222	1	-44.8228761020405	-56.0109999655181	0
223	1	-44.8228761020405	-54.5929999655181	0
224	1	-43.5948531020405	-53.8839999655181	0
225	1	-41.1388041020405	-56.7199999655181	0
226	1	-42.3668281020405	-56.0109999655181	0
227	1	-42.3668281020405	-54.5929999655181	0
228	1	-41.1388041020405	-53.8839999655181	0
229	1	-38.6827571020405	-56.7199999655181	0
230	1	-39.9107801020405	-56.0109999655181	0
231	1	-39.9107801020405	-54.5929999655181	0
232	1	-38.6827571020405	-53.8839999655181	0
233	1	-36.2267081020405	-56.7199999655181	0
234	1	-37.4547331020405	-56.0109999655181	0
235	1	-37.4547331020405	-54.5929999655181	0
236	1	-36.2267081020405	-53.8839999655181	0
237	1	-33.7706611020405	-56.7199999655181	0
238	1	-34.9986841020405	-56.0109999655181	0
239	1	-34.9986841020405	-54.5929999655181	0
240	1	-33.7706611020405	-53.8839999655181	0
241	1	-31.3146121020405	-56.7199999655181	0
242	1	-32.5426371020405	-56.0109999655181	0
243	1	-32.5426371020405	-54.5929999655181	0
244	1	-31.3146121020405	-53.8839999655181	0
245	1	-28.8585651020405	-56.7199999655181	0
246	1	-30.0865881020405	-56.0109999655181	0
247	1	-30.0865881020405	-54.5929999655181	0
248	1	-28.8585651020405	-53.8839999655181	0
249	1	-26.4025161020405	-56.7199999655181	0
250	1	-27.6305411020405	-56.0109999655181	0
251	1	-27.6305411020405	-54.5929999655181	0
252	1	-26.4025161020405	-53.8839999655181	0
253	1	-23.9464671020405	-56.7199999655181	0
254	1	-25.1744941020405	-56.0109999655181	0
255	1	-25.1744941020405	-54.5929999655181	0
256	1	-23.9464671020405	-53.8839999655181	0
257	1	-21.4904201020405	-56.7199999655181	0
258	1	-22.7184431020405	-56.0109999655181	0
259	1	-22.7184431020405	-54.5929999655181	0
260	1	-21.4904201020405	-53.8839999655181	0
261	1	-19.0343731020405	-56.7199999655181	0
262	1	-20.2623961020405	-56.0109999655181	0
263	1	-20.2623961020405	-54.5929999655181	0
264	1	-19.0343731020405	-53.8839999655181	0
265	1	-16.5783261020405	-56.7199999655181	0
266	1	-17.8063491020405	-56.0109999655181	0
267	1	-17.8063491020405	-54.5929999655181	0
268	1	-16.5783261020405	-53.8839999655181	0
269	1	-14.1222751020405	-56.7199999655181	0
270	1	-15.3502981020405	-56.0109999655181	0
271	1	-15.3502981020405	-54.5929999655181	0
272	1	-14.1222751020405	-53.8839999655181	0
273	1	-11.6662281020405	-56.7199999655181	0
274	1	-12.8942511020405	-56.0109999655181	0
275	1	-12.8942511020405	-54.5929999655181	0
276	1	-11.6662281020405	-53.8839999655181	0
277	1	-9.21018110204047	-56.7199999655181	0
278	1	-10.4382041020405	-56.0109999655181	0
279	1	-10.4382041020405	-54.5929999655181	0
280	1	-9.21018110204047	-53.8839999655181	0
281	1	-6.75413410204046	-56.7199999655181	0
282	1	-7.98215710204046	-56.0109999655181	0
283	1	-7.98215710204046	-54.5929999655181	0
284	1	-6.75413410204046	-53.8839999655181	0
285	1	-4.29808310204047	-56.7199999655181	0
286	1	-5.52610610204047	-56.0109999655181	0
287	1	-5.52610610204047	-54.5929999655181	0
288	1	-4.29808310204047	-53.8839999655181	0
289	1	-1.84203610204046	-56.7199999655181	0
290	1	-3.07005910204046	-56.0109999655181	0
291	1	-3.07005910204046	-54.5929999655181	0
292	1	-1.84203610204046	-53.8839999655181	0
293	1	0.614010897959538	-56.7199999655181	0
294	1	-0.614012102040462	-56.0109999655181	0
295	1	-0.614012102040462	-54.5929999655181	0
296	1	0.614010897959538	-53.8839999655181	0
297	1	3.07005789795954	-56.7199999655181	0
298	1	1.84203489795954	-56.0109999655181	0
299	1	1.84203489795954	-54.5929999655181	0
300	1	3.07005789795954	-53.8839999655181	0
301	1	5.52610889795954	-56.7199999655181	0
302	1	4.29808589795954	-56.0109999655181	0
303	1	4.29808589795954	-54.5929999655181	0
304	1	5.52610889795954	-53.8839999655181	0
305	1	7.98215189795954	-56.7199999655181	0
306	1	6.75413289795954	-56.0109999655181	0
307	1	6.75413289795954	-54.5929999655181	0
308	1	7.98215189795954	-53.8839999655181	0
309	1	10.4382068979595	-56.7199999655181	0
310	1	9.21017989795953	-56.0109999655181	0
311	1	9.21017989795953	-54.5929999655181	0
312	1	10.4382068979595	-53.8839999655181	0
313	1	12.8942538979595	-56.7199999655181	0
314	1	11.6662268979595	-56.0109999655181	0
315	1	11.6662268979595	-54.5929999655181	0
316	1	12.8942538979595	-53.8839999655181	0
317	1	15.3503008979595	-56.7199999655181	0
318	1	14.1222738979595	-56.0109999655181	0
319	1	14.1222738979595	-54.5929999655181	0
320	1	15.3503008979595	-53.8839999655181	0
321	1	17.8063478979595	-56.7199999655181	0
322	1	16.5783208979595	-56.0109999655181	0
323	1	16.5783208979595	-54.5929999655181	0
324	1	17.8063478979595	-53.8839999655181	0
325	1	20.2623948979595	-56.7199999655181	0
326	1	19.0343758979595	-56.0109999655181	0
327	1	19.0343758979595	-54.5929999655181	0
328	1	20.2623948979595	-53.8839999655181	0
329	1	22.7184418979595	-56.7199999655181	0
330	1	21.4904228979595	-56.0109999655181	0
331	1	21.4904228979595	-54.5929999655181	0
332	1	22.7184418979595	-53.8839999655181	0
333	1	25.1744888979595	-56.7199999655181	0
334	1	23.9464698979595	-56.0109999655181	0
335	1	23.9464698979595	-54.5929999655181	0
336	1	25.1744888979595	-53.8839999655181	0
337	1	27.6305438979595	-56.7199999655181	0
338	1	26.4025168979595	-56.0109999655181	0
339	1	26.4025168979595	-54.5929999655181	0
340	1	27.6305438979595	-53.8839999655181	0
341	1	30.0865908979595	-56.7199999655181	0
342	1	28.8585638979595	-56.0109999655181	0
343	1	28.8585638979595	-54.5929999655181	0
344	1	30.0865908979595	-53.8839999655181	0
345	1	32.5426378979595	-56.7199999655181	0
346	1	31.3146108979595	-56.0109999655181	0
347	1	31.3146108979595	-54.5929999655181	0
348	1	32.5426378979595	-53.8839999655181	0
349	1	34.9986848979595	-56.7199999655181	0
350	1	33.7706578979595	-56.0109999655181	0
351	1	33.7706578979595	-54.5929999655181	0
352	1	34.9986848979595	-53.8839999655181	0
353	1	37.4547318979595	-56.7199999655181	0
354	1	36.2267048979595	-56.0109999655181	0
355	1	36.2267048979595	-54.5929999655181	0
356	1	37.4547318979595	-53.8839999655181	0
357	1	39.9107788979595	-56.7199999655181	0
358	1	38.6827598979595	-56.0109999655181	0
359	1	38.6827598979595	-54.5929999655181	0
360	1	39.9107788979595	-53.8839999655181	0
361	1	42.3668268979595	-56.7199999655181	0
362	1	41.1388068979595	-56.0109999655181	0
363	1	41.1388068979595	-54.5929999655181	0
364	1	42.3668268979595	-53.8839999655181	0
365	1	44.8228738979595	-56.7199999655181	0
366	1	43.5948538979595	-56.0109999655181	0
367	1	43.5948538979595	-54.5929999655181	0
368	1	44.8228738979595	-53.8839999655181	0
369	1	47.2789278979595	-56.7199999655181	0
370	1	46.0509008979595	-56.0109999655181	0
371	1	46.0509008979595	-54.5929999655181	0
372	1	47.2789278979595	-53.8839999655181	0
373	1	49.7349748979595	-56.7199999655181	0
374	1	48.5069478979595	-56.0109999655181	0
375	1	48.5069478979595	-54.5929999655181	0
376	1	49.7349748979595	-53.8839999655181	0
377	1	52.1910218979595	-56.7199999655181	0
378	1	50.9629948979595	-56.0109999655181	0
379	1	50.9629948979595	-54.5929999655181	0
380	1	52.1910218979595	-53.8839999655181	0
381	1	54.6470688979595	-56.7199999655181	0
382	1	53.4190418979595	-56.0109999655181	0
383	1	53.4190418979595	-54.5929999655181	0
384	1	54.6470688979595	-53.8839999655181	0
385	1	57.1031168979595	-56.7199999655181	0
386	1	55.8750968979595	-56.0109999655181	0
387	1	55.8750968979595	-54.5929999655181	0
388	1	57.1031168979595	-53.8839999655181	0
389	1	59.5591638979595	-56.7199999655181	0
390	1	58.3311438979595	-56.0109999655181	0
391	1	58.3311438979595	-54.5929999655181	0
392	1	59.5591638979595	-53.8839999655181	0
393	1	-58.3311411020405	-52.4659999655181	0
394	1	-59.5591651020405	-51.7569999655181	0
395	1	-59.5591651020405	-50.3389999655181	0
396	1	-58.3311411020405	-49.6299999655181	0
397	1	-55.8750931020405	-52.4659999655181	0
398	1	-57.1031171020405	-51.7569999655181	0
399	1	-57.1031171020405	-50.3389999655181	0
400	1	-55.8750931020405	-49.6299999655181	0
401	1	-53.4190451020405	-52.4659999655181	0
402	1	-54.6470691020405	-51.7569999655181	0
403	1	-54.6470691020405	-50.3389999655181	0
404	1	-53.4190451020405	-49.6299999655181	0
405	1	-50.9629971020405	-52.4659999655181	0
406	1	-52.1910211020405	-51.7569999655181	0
407	1	-52.1910211020405	-50.3389999655181	0
408	1	-50.9629971020405	-49.6299999655181	0
409	1	-48.5069491020405	-52.4659999655181	0
410	1	-49.7349721020405	-51.7569999655181	0
411	1	-49.7349721020405	-50.3389999655181	0
412	1	-48.5069491020405	-49.6299999655181	0
413	1	-46.0509011020405	-52.4659999655181	0
414	1	-47.2789241020405	-51.7569999655181	0
415	1	-47.2789241020405	-50.3389999655181	0
416	1	-46.0509011020405	-49.6299999655181	0
417	1	-43.5948531020405	-52.4659999655181	0
418	1	-44.8228761020405	-51.7569999655181	0
419	1	-44.8228761020405	-50.3389999655181	0
420	1	-43.5948531020405	-49.6299999655181	0
421	1	-41.1388041020405	-52.4659999655181	0
422	1	-42.3668281020405	-51.7569999655181	0
423	1	-42.3668281020405	-50.3389999655181	0
424	1	-41.1388041020405	-49.6299999655181	0
425	1	-38.6827571020405	-52.4659999655181	0
426	1	-39.9107801020405	-51.7569999655181	0
427	1	-39.9107801020405	-50.3389999655181	0
428	1	-38.6827571020405	-49.6299999655181	0
429	1	-36.2267081020405	-52.4659999655181	0
430	1	-37.4547331020405	-51.7569999655181	0
431	1	-37.4547331020405	-50.3389999655181	0
432	1	-36.2267081020405	-49.6299999655181	0
433	1	-33.7706611020405	-52.4659999655181	0
434	1	-34.9986841020405	-51.7569999655181	0
435	1	-34.9986841020405	-50.3389999655181	0
436	1	-33.7706611020405	-49.6299999655181	0
437	1	-31.3146121020405	-52.4659999655181	0
438	1	-32.5426371020405	-51.7569999655181	0
439	1	-32.5426371020405	-50.3389999655181	0
440	1	-31.3146121020405	-49.6299999655181	0
441	1	-28.8585651020405	-52.4659999655181	0
442	1	-30.0865881020405	-51.7569999655181	0
443	1	-30.0865881020405	-50.3389999655181	0
444	1	-28.8585651020405	-49.6299999655181	0
445	1	-26.4025161020405	-52.4659999655181	0
446	1	-27.6305411020405	-51.7569999655181	0
447	1	-27.6305411020405	-50.3389999655181	0
448	1	-26.4025161020405	-49.6299999655181	0
449	1	-23.9464671020405	-52.4659999655181	0
450	1	-25.1744941020405	-51.7569999655181	0
451	1	-25.1744941020405	-50.3389999655181	0
452	1	-23.9464671020405	-49.6299999655181	0
453	1	-21.4904201020405	-52.4659999655181	0
454	1	-22.7184431020405	-51.7569999655181	0
455	1	-22.7184431020405	-50.3389999655181	0
456	1	-21.4904201020405	-49.6299999655181	0
457	1	-19.0343731020405	-52.4659999655181	0
458	1	-20.2623961020405	-51.7569999655181	0
459	1	-20.2623961020405	-50.3389999655181	0
460	1	-19.0343731020405	-49.6299999655181	0
461	1	-16.5783261020405	-52.4659999655181	0
462	1	-17.8063491020405	-51.7569999655181	0
463	1	-17.8063491020405	-50.3389999655181	0
464	1	-16.5783261020405	-49.6299999655181	0
465	1	-14.1222751020405	-52.4659999655181	0
466	1	-15.3502981020405	-51.7569999655181	0
467	1	-15.3502981020405	-50.3389999655181	0
468	1	-14.1222751020405	-49.6299999655181	0
469	1	-11.6662281020405	-52.4659999655181	0
470	1	-12.8942511020405	-51.7569999655181	0
471	1	-12.8942511020405	-50.3389999655181	0
472	1	-11.6662281020405	-49.6299999655181	0
473	1	-9.21018110204047	-52.4659999655181	0
474	1	-10.4382041020405	-51.7569999655181	0
475	1	-10.4382041020405	-50.3389999655181	0
476	1	-9.21018110204047	-49.6299999655181	0
477	1	-6.75413410204046	-52.4659999655181	0
478	1	-7.98215710204046	-51.7569999655181	0
479	1	-7.98215710204046	-50.3389999655181	0
480	1	-6.75413410204046	-49.6299999655181	0
481	1	-4.29808310204047	-52.4659999655181	0
482	1	-5.52610610204047	-51.7569999655181	0
483	1	-5.52610610204047	-50.3389999655181	0
484	1	-4.29808310204047	-49.6299999655181	0
485	1	-1.84203610204046	-52.4659999655181	0
486	1	-3.07005910204046	-51.7569999655181	0
487	1	-3.07005910204046	-50.3389999655181	0
488	1	-1.84203610204046	-49.6299999655181	0
489	1	0.614010897959538	-52.4659999655181	0
490	1	-0.614012102040462	-51.7569999655181	0
491	1	-0.614012102040462	-50.3389999655181	0
492	1	0.614010897959538	-49.6299999655181	0
493	1	3.07005789795954	-52.4659999655181	0
494	1	1.84203489795954	-51.7569999655181	0
495	1	1.84203489795954	-50.3389999655181	0
496	1	3.07005789795954	-49.6299999655181	0
497	1	5.52610889795954	-52.4659999655181	0
498	1	4.29808589795954	-51.7569999655181	0
499	1	4.29808589795954	-50.3389999655181	0
500	1	5.52610889795954	-49.6299999655181	0
501	1	7.98215189795954	-52.4659999655181	0
502	1	6.75413289795954	-51.7569999655181	0
503	1	6.75413289795954	-50.3389999655181	0
504	1	7.98215189795954	-49.6299999655181	0
505	1	10.4382068979595	-52.4659999655181	0
506	1	9.21017989795953	-51.7569999655181	0
507	1	9.21017989795953	-50.3389999655181	0
508	1	10.4382068979595	-49.6299999655181	0
509	1	12.8942538979595	-52.4659999655181	0
510	1	11.6662268979595	-51.7569999655181	0
511	1	11.6662268979595	-50.3389999655181	0
512	1	12.8942538979595	-49.6299999655181	0
513	1	15.3503008979595	-52.4659999655181	0
514	1	14.1222738979595	-51.7569999655181	0
515	1	14.1222738979595	-50.3389999655181	0
516	1	15.3503008979595	-49.6299999655181	0
517	1	17.8063478979595	-52.4659999655181	0
518	1	16.5783208979595	-51.7569999655181	0
519	1	16.5783208979595	-50.3389999655181	0
520	1	17.8063478979595	-49.6299999655181	0
521	1	20.2623948979595	-52.4659999655181	0
522	1	19.0343758979595	-51.7569999655181	0
523	1	19.0343758979595	-50.3389999655181	0
524	1	20.2623948979595	-49.6299999655181	0
525	1	22.7184418979595	-52.4659999655181	0
526	1	21.4904228979595	-51.7569999655181	0
527	1	21.4904228979595	-50.3389999655181	0
528	1	22.7184418979595	-49.6299999655181	0
529	1	25.1744888979595	-52.4659999655181	0
530	1	23.9464698979595	-51.7569999655181	0
531	1	23.9464698979595	-50.3389999655181	0
532	1	25.1744888979595	-49.6299999655181	0
533	1	27.6305438979595	-52.4659999655181	0
534	1	26.4025168979595	-51.7569999655181	0
535	1	26.4025168979595	-50.3389999655181	0
536	1	27.6305438979595	-49.6299999655181	0
537	1	30.0865908979595	-52.4659999655181	0
538	1	28.8585638979595	-51.7569999655181	0
539	1	28.8585638979595	-50.3389999655181	0
540	1	30.0865908979595	-49.6299999655181	0
541	1	32.5426378979595	-52.4659999655181	0
542	1	31.3146108979595	-51.7569999655181	0
543	1	31.3146108979595	-50.3389999655181	0
544	1	32.5426378979595	-49.6299999655181	0
545	1	34.9986848979595	-52.4659999655181	0
546	1	33.7706578979595	-51.7569999655181	0
547	1	33.7706578979595	-50.3389999655181	0
548	1	34.9986848979595	-49.6299999655181	0
549	1	37.4547318979595	-52.4659999655181	0
550	1	36.2267048979595	-51.7569999655181	0
551	1	36.2267048979595	-50.3389999655181	0
552	1	37.4547318979595	-49.6299999655181	0
553	1	39.9107788979595	-52.4659999655181	0
554	1	38.6827598979595	-51.7569999655181	0
555	1	38.6827598979595	-50.3389999655181	0
556	1	39.9107788979595	-49.6299999655181	0
557	1	42.3668268979595	-52.4659999655181	0
558	1	41.1388068979595	-51.7569999655181	0
559	1	41.1388068979595	-50.3389999655181	0
560	1	42.3668268979595	-49.6299999655181	0
561	1	44.8228738979595	-52.4659999655181	0
562	1	43.5948538979595	-51.7569999655181	0
563	1	43.5948538979595	-50.3389999655181	0
564	1	44.8228738979595	-49.6299999655181	0
565	1	47.2789278979595	-52.4659999655181	0
566	1	46.0509008979595	-51.7569999655181	0
567	1	46.0509008979595	-50.3389999655181	0
568	1	47.2789278979595	-49.6299999655181	0
569	1	49.7349748979595	-52.4659999655181	0
570	1	48.5069478979595	-51.7569999655181	0
571	1	48.5069478979595	-50.3389999655181	0
572	1	49.7349748979595	-49.6299999655181	0
573	1	52.1910218979595	-52.4659999655181	0
574	1	50.9629948979595	-51.7569999655181	0
575	1	50.9629948979595	-50.3389999655181	0
576	1	52.1910218979595	-49.6299999655181	0
577	1	54.6470688979595	-52.4659999655181	0
578	1	53.4190418979595	-51.7569999655181	0
