#Graphite3layer & C60 12*12 Data file for LAMMPS

		11428  atoms

		3  atom types

		
		-60.1741		60.1739 	xlo xhi
		-61.4477		61.9203 	ylo yhi
		-60 			60	 	zlo zhi

Masses

		1     12.011   # Grapgite	(Nose_Hoover)
		2     12.011   # Graphene	(Nose_Hoover)		
		3     12.011   # C60		(Nose_Hoover)

Atoms

 134 1 21.4905 -60.7377 -3.35001
 135 1 21.4905 -59.3197 -3.35001
 136 1 22.7185 -58.6107 -3.35001
 137 1 25.1745 -61.4467 -3.35001
 138 1 23.9465 -60.7377 -3.35001
 139 1 23.9465 -59.3197 -3.35001
 140 1 25.1745 -58.6107 -3.35001
 141 1 27.6306 -61.4467 -3.35001
 142 1 26.4026 -60.7377 -3.35001
 143 1 26.4026 -59.3197 -3.35001
 144 1 27.6306 -58.6107 -3.35001
 145 1 30.0866 -61.4467 -3.35001
 146 1 28.8586 -60.7377 -3.35001
 147 1 28.8586 -59.3197 -3.35001
 148 1 30.0866 -58.6107 -3.35001
 149 1 32.5427 -61.4467 -3.35001
 150 1 31.3147 -60.7377 -3.35001
 151 1 31.3147 -59.3197 -3.35001
 152 1 32.5427 -58.6107 -3.35001
 153 1 34.9987 -61.4467 -3.35001
 154 1 33.7707 -60.7377 -3.35001
 155 1 33.7707 -59.3197 -3.35001
 156 1 34.9987 -58.6107 -3.35001
 157 1 37.4548 -61.4467 -3.35001
 158 1 36.2267 -60.7377 -3.35001
 159 1 36.2267 -59.3197 -3.35001
 160 1 37.4548 -58.6107 -3.35001
 161 1 39.9108 -61.4467 -3.35001
 162 1 38.6828 -60.7377 -3.35001
 163 1 38.6828 -59.3197 -3.35001
 164 1 39.9108 -58.6107 -3.35001
 165 1 42.3669 -61.4467 -3.35001
 166 1 41.1388 -60.7377 -3.35001
 167 1 41.1388 -59.3197 -3.35001
 168 1 42.3669 -58.6107 -3.35001
 169 1 44.8229 -61.4467 -3.35001
 170 1 43.5949 -60.7377 -3.35001
 171 1 43.5949 -59.3197 -3.35001
 172 1 44.8229 -58.6107 -3.35001
 173 1 47.2789 -61.4467 -3.35001
 174 1 46.0509 -60.7377 -3.35001
 175 1 46.0509 -59.3197 -3.35001
 176 1 47.2789 -58.6107 -3.35001
 177 1 49.7349 -61.4467 -3.35001
 178 1 48.5069 -60.7377 -3.35001
 179 1 48.5069 -59.3197 -3.35001
 180 1 49.7349 -58.6107 -3.35001
 181 1 52.1909 -61.4467 -3.35001
 182 1 50.9629 -60.7377 -3.35001
 183 1 50.9629 -59.3197 -3.35001
 184 1 52.1909 -58.6107 -3.35001
 185 1 54.6469 -61.4467 -3.35001
 186 1 53.4189 -60.7377 -3.35001
 187 1 53.4189 -59.3197 -3.35001
 188 1 54.6469 -58.6107 -3.35001
 189 1 57.1029 -61.4467 -3.35001
 190 1 55.8749 -60.7377 -3.35001
 191 1 55.8749 -59.3197 -3.35001
 192 1 57.1029 -58.6107 -3.35001
 193 1 59.5589 -61.4467 -3.35001
 194 1 58.3309 -60.7377 -3.35001
 195 1 58.3309 -59.3197 -3.35001
 196 1 59.5589 -58.6107 -3.35001
 197 1 -58.3311 -57.1927 -3.35001
 198 1 -59.5591 -56.4837 -3.35001
 199 1 -59.5591 -55.0657 -3.35001
 200 1 -58.3311 -54.3567 -3.35001
 201 1 -55.8751 -57.1927 -3.35001
 202 1 -57.1031 -56.4837 -3.35001
 203 1 -57.1031 -55.0657 -3.35001
 204 1 -55.8751 -54.3567 -3.35001
 205 1 -53.419 -57.1927 -3.35001
 206 1 -54.647 -56.4837 -3.35001
 207 1 -54.647 -55.0657 -3.35001
 208 1 -53.419 -54.3567 -3.35001
 209 1 -50.963 -57.1927 -3.35001
 210 1 -52.191 -56.4837 -3.35001
 211 1 -52.191 -55.0657 -3.35001
 212 1 -50.963 -54.3567 -3.35001
 213 1 -48.5069 -57.1927 -3.35001
 214 1 -49.7349 -56.4837 -3.35001
 215 1 -49.7349 -55.0657 -3.35001
 216 1 -48.5069 -54.3567 -3.35001
 217 1 -46.0509 -57.1927 -3.35001
 218 1 -47.2789 -56.4837 -3.35001
 219 1 -47.2789 -55.0657 -3.35001
 220 1 -46.0509 -54.3567 -3.35001
 221 1 -43.5948 -57.1927 -3.35001
 222 1 -44.8228 -56.4837 -3.35001
 223 1 -44.8228 -55.0657 -3.35001
 224 1 -43.5948 -54.3567 -3.35001
 225 1 -41.1388 -57.1927 -3.35001
 226 1 -42.3668 -56.4837 -3.35001
 227 1 -42.3668 -55.0657 -3.35001
 228 1 -41.1388 -54.3567 -3.35001
 229 1 -38.6827 -57.1927 -3.35001
 230 1 -39.9107 -56.4837 -3.35001
 231 1 -39.9107 -55.0657 -3.35001
 232 1 -38.6827 -54.3567 -3.35001
 233 1 -36.2267 -57.1927 -3.35001
 234 1 -37.4547 -56.4837 -3.35001
 235 1 -37.4547 -55.0657 -3.35001
 236 1 -36.2267 -54.3567 -3.35001
 237 1 -33.7706 -57.1927 -3.35001
 238 1 -34.9986 -56.4837 -3.35001
 239 1 -34.9986 -55.0657 -3.35001
 240 1 -33.7706 -54.3567 -3.35001
 241 1 -31.3146 -57.1927 -3.35001
 242 1 -32.5426 -56.4837 -3.35001
 243 1 -32.5426 -55.0657 -3.35001
 244 1 -31.3146 -54.3567 -3.35001
 245 1 -28.8585 -57.1927 -3.35001
 246 1 -30.0865 -56.4837 -3.35001
 247 1 -30.0865 -55.0657 -3.35001
 248 1 -28.8585 -54.3567 -3.35001
 249 1 -26.4025 -57.1927 -3.35001
 250 1 -27.6305 -56.4837 -3.35001
 251 1 -27.6305 -55.0657 -3.35001
 252 1 -26.4025 -54.3567 -3.35001
 253 1 -23.9464 -57.1927 -3.35001
 254 1 -25.1745 -56.4837 -3.35001
